id,cake_id,cake_name,channel,alpha,beta,gamma_competition,sigma_noise
1,1,Triple Chocolate Layer Cake,Local,61.5,3.5,0.5,19
4,2,Victoria Sponge,Local,58.6,3.2,0.4,16
7,3,Red Velvet Cake,Local,60.1,3.4,0.45,18
10,4,Lemon Drizzle Cake,Local,59.3,3.3,0.35,15
13,5,New York Cheesecake,Local,61.8,3.7,0.4,17
16,6,Flourless Chocolate Cake,Local,67.7,3.9,0.35,13
19,7,Banana Cake,Local,59.5,3.2,0.35,16
22,8,Old-Fashioned Marble Cake,Local,56.1,3.2,0.4,16
25,9,Coconut Cake,Local,57.1,3.2,0.35,14
28,10,Coffee & Walnut Cake,Local,57.1,3.2,0.35,14
3,1,Triple Chocolate Layer Cake,Online,61.7,3.705,0.9,12
6,2,Victoria Sponge,Online,67.9,3.629,0.8,10
9,3,Red Velvet Cake,Online,68.2,4.167,0.85,12
12,4,Lemon Drizzle Cake,Online,63.2,3.317,0.75,10
15,5,New York Cheesecake,Online,64.7,3.998,0.8,11
18,6,Flourless Chocolate Cake,Online,78.6,4.325,0.75,8
21,7,Banana Cake,Online,72.9,3.884,0.75,11
24,8,Old-Fashioned Marble Cake,Online,59.1,3.504,0.8,10
27,9,Coconut Cake,Online,56.3,3.202,0.75,9
30,10,Coffee & Walnut Cake,Online,45.3,1.9,0.75,9
2,1,Triple Chocolate Layer Cake,Supermarket,64.9,4.322,0.7,15
5,2,Victoria Sponge,Supermarket,62.2,4.149,0.6,13
8,3,Red Velvet Cake,Supermarket,68.5,4.809,0.65,14
11,4,Lemon Drizzle Cake,Supermarket,63.8,4.294,0.55,12
14,5,New York Cheesecake,Supermarket,73,4.482,0.6,14
17,6,Flourless Chocolate Cake,Supermarket,71.5,4.901,0.55,10
20,7,Banana Cake,Supermarket,71.8,4.447,0.55,13
23,8,Old-Fashioned Marble Cake,Supermarket,69.4,4.63,0.6,12
26,9,Coconut Cake,Supermarket,62.7,4.379,0.55,12
29,10,Coffee & Walnut Cake,Supermarket,64.7,4.425,0.55,11
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
